Date,Price Index,Total Return Index,Change,%Change
2019/04/25,8341.52,15044.72,0.99,0.01%
2019/04/26,8263.69,14904.34,-77.83,-0.93%
2019/04/29,8278.24,14930.59,14.55,0.18%
2019/04/30,8280.39,14934.47,2.15,0.03%
2019/05/02,8300.86,14971.38,20.47,0.25%
2019/05/03,8399.38,15149.07,98.52,1.19%
2019/05/06,8250.77,14881.05,-148.61,-1.77%
2019/05/07,8321.69,15008.96,70.92,0.86%
2019/05/08,8268.39,14912.83,-53.3,-0.64%
2019/05/09,8133.13,14668.88,-135.26,-1.64%
2019/05/10,8124.31,14652.96,-8.82,-0.11%
2019/05/13,7992.97,14416.08,-131.34,-1.62%
2019/05/14,7938.94,14318.63,-54.03,-0.68%
2019/05/15,7946.59,14332.43,7.65,0.1%
2019/05/16,7881.89,14215.73,-64.7,-0.81%
2019/05/17,7795.03,14059.07,-86.86,-1.1%
2019/05/20,7800.65,14069.22,5.62,0.07%
2019/05/21,7810.34,14086.7,9.69,0.12%
2019/05/22,7816.0,14096.9,5.66,0.07%
2019/05/23,7676.29,13844.91,-139.71,-1.79%
2019/05/24,7710.67,13906.93,34.38,0.45%
2019/05/27,7693.59,13876.12,-17.08,-0.22%
2019/05/28,7675.13,13842.82,-18.46,-0.24%
2019/05/29,7661.34,13817.94,-13.79,-0.18%
2019/05/30,7730.95,13943.5,69.61,0.91%
2019/05/31,7839.08,14138.53,108.13,1.4%
2019/06/03,7869.97,14194.24,30.89,0.39%
2019/06/04,7796.2,14061.18,-73.77,-0.94%
2019/06/05,7817.9,14100.32,21.7,0.28%
2019/06/06,7779.58,14031.21,-38.32,-0.49%
2019/06/10,7924.32,14292.25,144.74,1.86%
2019/06/11,7966.71,14368.71,42.39,0.53%
2019/06/12,7980.54,14393.65,13.83,0.17%
2019/06/13,7914.38,14274.33,-66.16,-0.83%
2019/06/14,7868.56,14191.7,-45.82,-0.58%
2019/06/17,7854.66,14166.62,-13.9,-0.18%
2019/06/18,7898.31,14245.35,43.65,0.56%
2019/06/19,8078.54,14570.41,180.23,2.28%
2019/06/20,8085.43,14588.5,6.89,0.09%
2019/06/21,8113.91,14639.88,28.48,0.35%
2019/06/24,8054.89,14699.94,-59.02,-0.73%
2019/06/25,7994.4,14589.55,-60.49,-0.75%
2019/06/26,7924.34,14480.08,-70.06,-0.88%
2019/06/27,8045.12,14700.78,120.78,1.52%
2019/06/28,8008.17,14633.25,-36.95,-0.46%
2019/07/01,8162.31,14925.47,154.14,1.92%
2019/07/02,8129.04,14907.56,-33.27,-0.41%
2019/07/03,8008.21,14710.41,-120.83,-1.49%
2019/07/04,8034.43,14780.3,26.22,0.33%
2019/07/05,8040.4,14791.27,5.97,0.07%
2019/07/08,8018.86,14781.44,-21.54,-0.27%
2019/07/09,7977.71,14715.58,-41.15,-0.51%
2019/07/10,8073.18,14891.67,95.47,1.2%
2019/07/11,8123.4,14994.15,50.22,0.62%
2019/07/12,8101.24,14953.25,-22.16,-0.27%
2019/07/15,8152.28,15063.59,51.04,0.63%
2019/07/16,8169.79,15110.61,17.51,0.21%
2019/07/17,8102.2,14985.59,-67.59,-0.83%
2019/07/18,8099.08,14979.82,-3.12,-0.04%
2019/07/19,8167.35,15112.41,68.27,0.84%
2019/07/22,8239.46,15253.18,72.11,0.88%
2019/07/23,8247.13,15269.36,7.67,0.09%
2019/07/24,8241.86,15267.44,-5.27,-0.06%
2019/07/25,8229.77,15320.12,-12.09,-0.15%
2019/07/26,8164.67,15198.92,-65.1,-0.79%
2019/07/29,8158.17,15195.24,-6.5,-0.08%
2019/07/30,8139.36,15160.2,-18.81,-0.23%
2019/07/31,8125.73,15149.86,-13.63,-0.17%
2019/08/01,8042.07,15004.47,-83.66,-1.03%
2019/08/02,7901.22,14741.69,-140.85,-1.75%
2019/08/05,7802.5,14557.5,-98.72,-1.25%
2019/08/06,7793.64,14550.69,-8.86,-0.11%
2019/08/07,7784.42,14533.47,-9.22,-0.12%
2019/08/08,7871.45,14695.96,87.03,1.12%
2019/08/12,7832.24,14652.38,-39.21,-0.5%
2019/08/13,7727.54,14477.16,-104.7,-1.34%
2019/08/14,7784.63,14590.26,57.09,0.74%
2019/08/15,7714.91,14463.74,-69.72,-0.9%
2019/08/16,7786.47,14597.9,71.56,0.93%
2019/08/19,7845.67,14708.9,59.2,0.76%
2019/08/20,7890.51,14792.96,44.84,0.57%
2019/08/21,7877.76,14769.06,-12.75,-0.16%
2019/08/22,7875.36,14764.55,-2.4,-0.03%
2019/08/23,7887.41,14787.15,12.05,0.15%
2019/08/26,7745.48,14536.67,-141.93,-1.8%
2019/08/27,7765.31,14573.88,19.83,0.26%
2019/08/28,7816.87,14670.64,51.56,0.66%
2019/08/29,7844.16,14721.85,27.29,0.35%
2019/08/30,7988.36,14992.5,144.2,1.84%
2019/09/02,7972.36,14962.46,-16.0,-0.2%
2019/09/03,7898.67,14824.16,-73.69,-0.92%
2019/09/04,7979.16,14975.22,80.49,1.02%
2019/09/05,8084.08,15172.14,104.92,1.31%
2019/09/06,8109.1,15219.1,25.02,0.31%
2019/09/09,8146.44,15289.17,37.34,0.46%
2019/09/10,8097.24,15196.84,-49.2,-0.6%
2019/09/11,8131.24,15260.66,34.0,0.42%
2019/09/12,8147.16,15290.53,15.92,0.2%
2019/09/16,8210.89,15418.15,63.73,0.78%
2019/09/17,8187.48,15374.19,-23.41,-0.29%
2019/09/18,8234.87,15463.18,47.39,0.58%
2019/09/19,8200.09,15440.95,-34.78,-0.42%
2019/09/20,8216.89,15472.57,16.8,0.2%
2019/09/23,8195.03,15431.42,-21.86,-0.27%
2019/09/24,8197.83,15436.69,2.8,0.03%
2019/09/25,8174.14,15392.07,-23.69,-0.29%
2019/09/26,8192.64,15426.92,18.5,0.23%
2019/09/27,8204.51,15449.26,11.87,0.14%
2019/10/01,8339.66,15703.75,135.15,1.65%
2019/10/02,8311.23,15650.21,-28.43,-0.34%
2019/10/03,8239.83,15515.77,-71.4,-0.86%
2019/10/04,8257.75,15549.51,17.92,0.22%
2019/10/07,8293.76,15617.32,36.01,0.44%
2019/10/08,8408.03,15832.49,114.27,1.38%
2019/10/09,8293.21,15616.28,-114.82,-1.37%
2019/10/14,8453.55,15918.21,160.34,1.93%
2019/10/15,8502.2,16009.82,48.65,0.58%
2019/10/16,8547.8,16095.68,45.6,0.54%
2019/10/17,8552.02,16103.64,4.22,0.05%
2019/10/18,8541.06,16082.99,-10.96,-0.13%
2019/10/21,8524.86,16052.48,-16.2,-0.19%
2019/10/22,8617.17,16226.31,92.31,1.08%
2019/10/23,8583.3,16162.53,-33.87,-0.39%
2019/10/24,8635.89,16261.56,52.59,0.61%
